year,mean
1995,23.26220222960705
1996,25.252769971044113
1997,25.33434468911806
1998,25.47256101408034
1999,22.088940949161362
2000,26.472077782772146
2001,27.379038894627648
2002,20.759384931050985
2003,16.727603960541977
2004,27.783844621211774
2005,22.348243640997776
2006,19.19237795442557
2007,30.765456029664065
2008,54.29091831862937
2009,50.8133898467433
2010,42.523097333409034
2011,31.667545205932733
2012,17.147135054686842
2013,40.28280049608419
2014,34.03339953744917
2015,24.461334498296907
2016,34.4430270096275
2017,43.80278652340398
2018,44.30217576279322
2019,61.740081832906405
2020,47.08320925078325
2021,23.389645946851477
2022,16.02916666666667
