year,linear,constant.low,constant.high,spline
1996,177,155,189,177
1997,178,141,179,178
1998,218,186,225,217
1999,189,164,195,186
2000,207,168,215,207
2001,231,203,251,184
2002,181,152,194,180
2003,187,154,194,187
2004,184,148,187,183
2005,189,140,189,186
2006,190,153,194,187
2007,203,182,222,192
2008,188,184,260,188
2009,180,142,182,179
2010,204,162,208,181
2011,176,139,180,171
2012,220,194,248,175
2013,180,139,181,180
2014,181,169,245,178
2015,191,159,190,191
2016,243,198,262,227
2017,218,170,267,226
2018,186,164,190,187
2019,182,158,194,182
2020,192,154,263,182
2021,213,212,245,213
