year,linear,constant.high,constant.low,spline
1996,2000-11-04,2000-11-08,2000-10-17,2000-11-04
1997,2000-10-28,2000-10-29,2000-10-01,2000-10-28
1998,2000-11-17,2000-11-22,2000-10-27,2000-11-16
1999,2000-10-23,2000-10-25,2000-10-07,2000-10-20
2000,2000-11-19,2000-11-28,2000-10-25,2000-11-19
2001,2000-12-10,2000-12-31,2000-11-26,2000-10-25
2002,2000-10-20,2000-10-20,2000-09-23,2000-10-20
2003,2000-10-25,2000-10-26,2000-09-29,2000-10-24
2004,2000-11-01,2000-11-03,2000-10-06,2000-10-31
2005,2000-11-01,2000-11-01,2000-09-26,2000-10-31
2006,2000-10-28,2000-10-29,2000-10-02,2000-10-24
2007,2000-11-14,2000-11-25,2000-10-29,2000-11-05
2008,2000-10-31,2001-01-01,2000-10-30,2000-10-30
2009,2000-10-25,2000-10-27,2000-09-30,2000-10-24
2010,2000-11-07,2000-11-08,2000-10-05,2000-11-06
2011,2000-10-28,2000-10-30,2000-10-03,2000-10-25
2012,2000-10-27,2000-10-29,2000-10-02,2000-10-23
2013,2000-10-27,2000-10-28,2000-09-30,2000-10-26
2014,2000-10-31,2000-12-31,2000-10-30,2000-10-30
2015,2000-11-01,2000-11-01,2000-10-07,2000-11-01
2016,2000-12-12,2001-01-01,2000-11-10,2000-11-26
2017,2000-11-01,2000-11-01,2000-10-04,2000-11-01
2018,2000-10-27,2000-10-28,2000-10-18,2000-10-27
2019,2000-10-26,2000-10-27,2000-10-04,2000-10-26
2020,2000-11-02,2000-11-03,2000-10-09,2000-11-01
2021,2000-11-04,2000-11-04,2000-11-04,2000-11-04
