year,linear,constant.high,constant.low,spline
1996,2000-05-12,2000-05-15,2000-05-03,2000-05-12
1997,2000-05-04,2000-05-13,2000-05-03,2000-05-04
1998,2000-04-14,2000-04-24,2000-04-11,2000-04-14
1999,2000-04-18,2000-04-26,2000-04-13,2000-04-18
2000,2000-04-27,2000-05-10,2000-04-27,2000-04-27
2001,2000-04-24,2000-05-07,2000-04-24,2000-04-25
2002,2000-04-23,2000-04-24,2000-04-09,2000-04-24
2003,2000-04-22,2000-04-28,2000-04-15,2000-04-21
2004,2000-05-02,2000-05-11,2000-04-30,2000-05-02
2005,2000-04-27,2000-05-09,2000-04-26,2000-04-29
2006,2000-04-22,2000-05-02,2000-04-18,2000-04-21
2007,2000-04-26,2000-04-30,2000-04-17,2000-04-28
2008,2000-04-27,2000-04-29,2000-04-16,2000-04-26
2009,2000-04-29,2000-05-11,2000-04-28,2000-04-29
2010,2000-04-18,2000-04-26,2000-04-14,2000-05-10
2011,2000-05-06,2000-05-17,2000-05-03,2000-05-08
2012,2000-03-22,2000-03-22,2000-02-24,2000-05-02
2013,2000-05-01,2000-05-14,2000-04-30,2000-04-30
2014,2000-05-04,2000-05-14,2000-04-30,2000-05-06
2015,2000-04-25,2000-05-01,2000-04-25,2000-04-25
2016,2000-04-14,2000-04-26,2000-04-14,2000-04-14
2017,2000-03-29,2000-04-17,2000-02-08,2000-03-21
2018,2000-04-25,2000-05-07,2000-04-21,2000-04-24
2019,2000-04-28,2000-04-29,2000-04-16,2000-04-28
2020,2000-04-25,2000-05-08,2000-02-14,2000-05-04
2021,2000-04-06,2000-04-06,2000-03-04,2000-04-06
